test,result,time (Î¼s),memory (kb),clauses
1,timeout,60000152,506176,414170
2,timeout,60000424,655024,532432
3,timeout,60000196,274596,257889
4,timeout,60000391,415792,340949
5,timeout,60000203,308348,262618
6,timeout,60000198,505980,439927
7,timeout,60000401,314876,276758
8,timeout,60000203,304816,251358
9,timeout,60000504,496444,433040
10,timeout,60000230,369060,351816
11,timeout,60000268,610404,529489
12,timeout,60000211,414244,394072
13,timeout,60000223,472112,403421
14,timeout,60000181,693756,534159
15,timeout,60000215,614956,578267
16,timeout,60000216,586364,443353
17,timeout,60000399,526848,425047
18,timeout,60000213,289024,257836
19,timeout,60000440,529020,448912
20,timeout,60000467,388912,358741
21,timeout,60000246,357372,336600
22,timeout,60000470,314364,263270
23,timeout,60000312,469296,394724
24,timeout,60000335,583472,530546
25,timeout,60000431,403072,306977
26,timeout,60000462,676400,496019
27,timeout,60000189,512944,388330
28,timeout,60000191,499840,439407
29,timeout,60000436,329852,261456
30,timeout,60000449,454116,389302
31,timeout,60000213,354276,349237
32,timeout,60000343,603840,482211
33,timeout,60000242,268132,265642
34,timeout,60000284,436860,407202
35,timeout,60000198,732284,586209
36,timeout,60000241,643108,566652
37,timeout,60000612,503908,491157
38,timeout,60000205,529660,414046
39,timeout,60000462,658596,526201
40,timeout,60000196,396284,333528
41,timeout,60000188,593840,473989
42,timeout,60000430,557820,480369
43,timeout,60000198,441468,402814
44,timeout,60000235,850352,746675
45,timeout,60000197,534192,478838
46,timeout,60000246,669440,539637
47,timeout,60000242,486192,447440
48,timeout,60000170,357248,337340
49,timeout,60000471,540540,413761
50,timeout,60000170,649340,600635
51,timeout,60000200,584188,505597
52,timeout,60000335,1057896,814887
53,timeout,60000447,686896,520395
54,timeout,60000179,513152,452429
55,timeout,60000180,408368,350066
56,timeout,60000169,839984,693099
57,timeout,60000239,379312,365288
58,timeout,60000353,753016,566653
59,timeout,60000143,522688,449059
60,timeout,60000228,336816,338853
61,timeout,60000185,486268,432789
62,timeout,60000209,449712,360912
63,timeout,60000399,712444,562601
64,timeout,60000218,638588,517386
65,timeout,60000189,558512,472315
66,timeout,60000262,405288,336674
67,timeout,60000191,493872,457668
68,timeout,60000313,792636,662565
69,timeout,60000242,499324,413554
70,timeout,60000166,426788,439621
71,timeout,60000214,680228,524963
72,timeout,60000421,760740,661766
73,timeout,60000268,471856,363822
74,timeout,60000473,529532,456814
75,timeout,60000418,365440,340448
76,timeout,60000216,519676,458752
77,timeout,60000212,652592,582247
78,timeout,60000314,361856,310584
79,timeout,60000200,398116,374086
80,timeout,60000162,687652,596806
81,timeout,60000459,338352,314700
82,timeout,60000460,576892,457504
83,timeout,60000216,546660,477545
84,timeout,60000598,543152,503043
85,timeout,60000190,463920,454409
86,timeout,60000244,582400,504332
87,timeout,60000461,365616,268901
88,timeout,60000599,345264,304508
89,timeout,60000188,735280,534799
90,timeout,60000424,464360,404791
91,timeout,60000172,408320,325717
92,timeout,60000443,635392,539624
93,timeout,60000444,439728,405922
94,timeout,60000218,441644,426711
95,timeout,60000447,633392,530116
96,timeout,60000211,576816,516367
97,timeout,60000490,527336,425067
98,timeout,60000453,480816,473595
99,timeout,60000229,986620,752894
100,timeout,60000215,381360,330755
